"Longitude_Maxima","Latitude_Maxima","Daten_Maxima.Aktivität","Daten_Maxima.Zeitdauer_Transport","Daten_Maxima.Zeit_Auftreffen","Daten_Maxima.Freisetzung_Kraftwerk"
142.014494856759,41.7071995174001,112076148749.543,1,100,95
142.163079381548,43.128011281946,2380255682758.36,2,101,95
143.013463737343,43.2634977216943,1184125162154.32,3,102,95
142.636075125247,42.8874044422717,1549636486794.72,2,101,95
143.22196842629,43.1474317209445,2126820506867.49,3,102,95
143.26338587839,41.8766172318315,340253422206.067,2,101,95
143.530145888762,42.9493533183577,3336203571456.15,3,102,95
142.86463131913,40.812704208983,257216919799.864,2,101,95
143.513544928809,41.8842790755658,1122684836626.99,3,102,95
144.479321141822,42.9828523058316,1464509396984.07,4,103,95
142.047164179579,40.6121594573543,610529261669.469,2,101,95
142.077935527246,42.1360294918727,369575868910.556,3,102,95
142.845693318486,43.9174000488294,2696351863082.19,4,103,95
141.236677397454,41.3850169767053,726132989064.224,1,100,95
141.576464867988,42.7332524947917,669252514697.693,2,101,95
142.330567630208,43.6817380473793,2016791190382.62,3,102,95
143.297809988705,43.6844099561067,264280299517.681,4,103,95
140.914494856759,40.6071995174001,180810603588.344,1,100,95
141.602230456495,42.0429619887167,244566820369.265,2,101,95
142.050996019503,43.694130759525,3251079569704.61,3,102,95
141.236677397454,41.3850169767053,726132989064.224,1,100,95
141.576464867988,42.7332524947917,669252514697.693,2,101,95
142.330567630208,43.6817380473793,2016791190382.62,3,102,95
143.297809988705,43.6844099561067,264280299517.681,4,103,95
146.142154479734,43.8954851926682,28714845382.5728,1,104,95
148.575109824371,43.6895729690711,39043384333.6773,2,105,95
141.025689,37.316501,31564830385643.5,1,97,96
141.025689,37.316501,170035169614357,1,97,96
141.025689,37.316501,11859486775347.8,1,97,96
141.38239320605,37.6351698858121,38540513224652.2,2,98,96
141.025689,37.316501,145676335096226,1,98,97
141.025689,37.316501,55923664903773.6,1,98,97
141.025689,37.316501,5.04e+13,1,98,97
141.025689,37.316501,2.016e+14,1,99,98
141.32949606254,37.6099133520442,719947088240.977,2,100,98
141.658969337129,37.9384526073748,2717501174531.91,3,101,98
142.651431469101,38.5895798658262,869270004880.635,1,103,98
143.957520869015,39.3480608051828,554500714023.016,2,104,98
145.586343638225,40.5829322262995,7968739628541.77,3,105,98
142.651431469101,39.6895798658262,1169948402589.14,1,103,98
144.263775666628,40.7424300608225,2068831474486.77,2,104,98
145.839054479149,42.3695035178063,147055408311.942,3,105,98
148.00820228378,44.1915167727803,226120380990.186,4,106,98
144.874291476016,40.4643738779751,3330889598960.89,2,104,98
146.504392641098,41.8371401673648,143303573504.253,3,105,98
148.576635178615,43.1682476912868,472161625046.662,4,106,98
150.277596202507,44.0776872232792,749900376210.907,4,106,98
144.8639981524,39.345883517789,492901066880.713,2,104,98
146.381924464828,40.5647881646847,2566600576404.32,3,105,98
148.525716700181,41.9353771666806,480823206709.886,4,106,98
143.429248928407,37.811762406521,67084429324.5692,1,103,98
144.499445119767,38.4240747855082,106680229162.574,2,104,98
145.926766305112,39.3549968864526,1484929813515.27,3,105,98
147.902657820282,40.5683857386173,907667043221.974,4,106,98
142.651431469101,37.4895798658262,108226204173.811,1,103,98
143.579875515897,38.0123331566824,198969036811.699,2,104,98
144.965665932724,38.80666676179,983089932385.567,3,105,98
146.811350205201,39.9294804583732,2226504545177.73,4,106,98
141.873614009796,39.3673973251314,3152545640174.69,1,103,98
143.188841838987,40.1830683466981,256355464887.505,2,104,98
144.38752379456,41.9904211998873,1081901286972.52,3,105,98
146.18795421772,44.1465754935608,66465407183.8123,4,106,98
141.551431469101,38.5895798658262,4696255173722.71,1,103,98
141.873614009796,39.3673973251314,3152545640174.69,1,103,98
143.188841838987,40.1830683466981,256355464887.505,2,104,98
144.38752379456,41.9904211998873,1081901286972.52,3,105,98
146.18795421772,44.1465754935608,66465407183.8123,4,106,98
151.642334825917,46.7380452837678,216859901468.936,1,107,98
151.021427167638,45.3967255053635,8603087962.20669,2,108,98
153.230758611621,46.4124726557579,19402329800.3351,3,109,98
153.454949007266,45.3551774837287,108429950734.468,1,107,98
153.12194041804,46.0159663817435,108429950734.468,1,107,98
151.590248610213,46.4713657456157,10035113118.5917,2,108,98
